0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/img/umo.gif HTTP/1.1" 200 138661
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "POST /metaplay/account/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/account/login?error HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:15 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:16 -0700] "GET /metaplay/resources/img/tupac.gif HTTP/1.1" 200 67574
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:23 -0700] "POST /metaplay/account/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:23 -0700] "GET /metaplay/account/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/account/16 HTTP/1.1" 200 7347
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
