0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:46:09 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:46:09 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/search HTTP/1.1" 200 6885
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/js/AJAXsearch.js HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:28 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:29 -0600] "GET /metaplay/resources/img/melloncollie.gif HTTP/1.1" 200 21632
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:29 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:30 -0600] "GET /metaplay/rest/loadAllEntities HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:38 -0600] "GET /metaplay/playlist/add HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:38 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:38 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:48:38 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
