127.0.0.1 - - [31/Oct/2015:09:17:23 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:41 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:41 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:41 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:41 -0600] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:41 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:41 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:42 -0600] "GET /metaplay/resources/img/wiz.gif HTTP/1.1" 200 68674
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:45 -0600] "POST /metaplay/account/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/account/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/account/16 HTTP/1.1" 200 7347
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/js/accountProfile.js HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:46 -0600] "GET /metaplay/resources/img/drake.gif HTTP/1.1" 200 26293
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:47 -0600] "GET /metaplay/image/retrieve?foldername=profilePictures&filename=Cup HTTP/1.1" 200 8285
0:0:0:0:0:0:0:1 - - [31/Oct/2015:09:17:49 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
